Account Status,Duration in month,Credit History,Purpose,Credit amount,Savings account or bonds,Present employment since,Instalment rate in percentage of disposable income,Personal status and sex,Other debtors or guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Target
Salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car(used),6615,Savings account,unemployed,2,male : single,none,4,unknown / no property,75,none,for free,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,18,critical account/ other credits existing (not at this bank),education,1864,Savings account,1 - 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,60,existing credits paid back duly till now,car(new),7408,Savings account, < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,24,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,2
No Checking account,48,critical account/ other credits existing (not at this bank),car(used),11590,Savings account,1 - 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",24,bank,rent,2,unskilled - resident,1,None,yes,2
Salary assignments for at least 1 year,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,Savings account,> 7 years,3,male : single,none,4,unknown / no property,23,bank,rent,2,skilled employee / official,2,None,yes,2
Salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),furniture/equipment,3384,Savings account,1 - 4 years,1,male : divorced/separated,none,4,real estate,44,none,rent,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,13,existing credits paid back duly till now,radio/television,2101,Savings account, < 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,23,none,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,15,existing credits paid back duly till now,domestic appliances,1275,Savings account,1 - 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,4169,Savings account,1 - 4 years,4,male : single,none,4,building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,10,existing credits paid back duly till now,furniture/equipment,1521,Savings account,1 - 4 years,4,male : divorced/separated,none,2,"car or other, not in attribute 6",31,none,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,24,critical account/ other credits existing (not at this bank),education,5743,Savings account, < 1 year,2,female : divorced/separated/married,none,4,unknown / no property,24,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,21,existing credits paid back duly till now,furniture/equipment,3599,Savings account,4- 7 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,rent,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,18,existing credits paid back duly till now,radio/television,3213,Savings account, < 1 year,1,male : married/widowed,none,3,real estate,25,none,rent,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,18,existing credits paid back duly till now,business,4439,Savings account,> 7 years,1,male : single,co-applicant,1,real estate,33,bank,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 3 year,10,existing credits paid back duly till now,car(new),3949,Savings account, < 1 year,1,male : single,guarantor,1,building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,2,None,yes,1
No Checking account,15,critical account/ other credits existing (not at this bank),radio/television,1459,Savings account,1 - 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",43,none,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,13,critical account/ other credits existing (not at this bank),radio/television,882,Savings account, < 1 year,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,24,existing credits paid back duly till now,radio/television,3758,Savings account,unemployed,1,female : divorced/separated/married,none,4,unknown / no property,23,none,rent,1,unemployed/ unskilled - non-resident,1,None,yes,1
No Checking account,6,delay in paying off in the past,business,1743,Savings account,1 - 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,9,critical account/ other credits existing (not at this bank),education,1136,Savings account,> 7 years,4,male : single,none,3,unknown / no property,32,none,for free,2,skilled employee / official,2,None,yes,2
No Checking account,9,existing credits paid back duly till now,domestic appliances,1236,Savings account, < 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,9,existing credits paid back duly till now,furniture/equipment,959,Savings account,1 - 4 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",29,none,own,1,skilled employee / official,1,None,no,2
No Checking account,18,critical account/ other credits existing (not at this bank),car(used),3229,Savings account,unemployed,2,male : single,none,4,unknown / no property,38,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,12,no credits taken/ all credits paid back duly,radio/television,6199,Savings account,1 - 4 years,4,male : single,none,2,building society savings agreement/ life insurance,28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,10,existing credits paid back duly till now,education,727,Savings account,> 7 years,4,male : single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,24,existing credits paid back duly till now,car(new),1246,Savings account, < 1 year,4,male : single,none,2,real estate,23,stores,own,1,unskilled - resident,1,None,yes,2
No Checking account,12,critical account/ other credits existing (not at this bank),radio/television,2331,Savings account,> 7 years,1,male : single,co-applicant,4,real estate,49,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,36,delay in paying off in the past,radio/television,4463,Savings account,1 - 4 years,4,male : single,none,2,"car or other, not in attribute 6",26,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,12,existing credits paid back duly till now,radio/television,776,Savings account,1 - 4 years,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,30,existing credits paid back duly till now,furniture/equipment,2406,Savings account,4- 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,18,existing credits paid back duly till now,education,1239,Savings account,1 - 4 years,4,male : single,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 3 year,12,existing credits paid back duly till now,radio/television,3399,Savings account,> 7 years,2,male : single,none,3,"car or other, not in attribute 6",37,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,1
Salary assignments for at least 3 year,12,delay in paying off in the past,car(new),2247,Savings account,1 - 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",36,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
